carrier,airport,avg_predicted_cancel_prob
AA,ATL,0.07570247933884297
AA,CLT,0.08785123966942149
AA,DEN,0.07512396694214876
AA,DFW,0.10991735537190084
AA,EWR,0.19388429752066116
AA,JFK,0.10652892561983472
AA,LAX,0.022727272727272728
AA,LGA,0.23157024793388428
AA,MSP,0.05330578512396694
AA,OAK,0.014107142857142858
AA,ORD,0.11206611570247935
AA,PHX,0.04016528925619835
AA,SEA,0.06388429752066116
AA,SFO,0.043140495867768594
AA,SJC,0.053636363636363635
AA,SLC,0.07991735537190083
AA,STL,0.06024793388429752
AS,ATL,0.05511983374115912
AS,DEN,0.05231404958677686
AS,DFW,0.05818181818181818
AS,EWR,0.07834710743801654
AS,JFK,0.09690292908201387
AS,LAX,0.05619834710743801
AS,MSP,0.0559504132231405
AS,OAK,0.06460176991150442
AS,ORD,0.06033057851239669
AS,PHX,0.019586776859504135
AS,SEA,0.04231404958677686
AS,SFO,0.07049586776859504
AS,SJC,0.05123362086928884
AS,SLC,0.05848739495798319
AS,STL,0.05628099173553719
B6,ATL,0.09256410256410257
B6,CLT,0.19388429752066116
B6,DEN,0.11099173553719008
B6,DFW,0.11041666666666666
B6,EWR,0.17074380165289257
B6,JFK,0.1305785123966942
B6,LAX,0.05380165289256198
B6,LGA,0.2106779661016949
B6,MSP,0.17483870967741935
B6,OAK,0.034
B6,ORD,0.09674999999999999
B6,PHX,0.11115702479338845
B6,SEA,0.07900826446280992
B6,SFO,0.05016528925619835
B6,SJC,0.10320388349514562
B6,SLC,0.035785123966942146
DL,ATL,0.04867768595041322
DL,CLT,0.044793388429752064
DL,DEN,0.02909090909090909
DL,DFW,0.05041322314049587
DL,EWR,0.059256198347107436
DL,JFK,0.05595041322314049
DL,LAX,0.020495867768595043
DL,LGA,0.08950413223140496
DL,MSP,0.02330578512396694
DL,OAK,0.04525862068965517
DL,ORD,0.04347107438016529
DL,PHX,0.02115702479338843
DL,SEA,0.026776859504132233
DL,SFO,0.0171900826446281
DL,SJC,0.02975206611570248
DL,SLC,0.019090909090909092
DL,STL,0.029834710743801653
F9,ATL,0.0687603305785124
F9,CLT,0.08780701754385965
F9,DEN,0.03677685950413223
F9,DFW,0.05652892561983471
F9,EWR,0.18785714285714286
F9,LAX,0.04080808080808081
F9,LGA,0.17066115702479337
F9,MSP,0.049999999999999996
F9,OAK,0.06206896551724138
F9,ORD,0.07418181818181818
F9,PHX,0.03181818181818182
F9,SEA,0.049090909090909095
F9,SFO,0.0468595041322314
F9,SJC,0.12933333333333333
F9,SLC,0.045537190082644625
F9,STL,0.03404958677685951
UA,ATL,0.07595041322314049
UA,CLT,0.13464912280701755
UA,DEN,0.03305785123966942
UA,DFW,0.049173553719008264
UA,EWR,0.14380165289256197
UA,JFK,0.06957446808510638
UA,LAX,0.021487603305785124
UA,LGA,0.16727272727272727
UA,MSP,0.030165289256198345
UA,ORD,0.036280991735537185
UA,PHX,0.03570247933884298
UA,SEA,0.02652892561983471
UA,SFO,0.028264462809917356
UA,SJC,0.04
UA,SLC,0.048305084745762714
UA,STL,0.05019607843137255
WN,ATL,0.0752892561983471
WN,CLT,0.11231404958677686
WN,DEN,0.06933884297520662
WN,EWR,0.17776315789473685
WN,LAX,0.05900826446280991
WN,LGA,0.20685950413223142
WN,MSP,0.09942148760330578
WN,OAK,0.023719008264462813
WN,ORD,0.21
WN,PHX,0.04008264462809917
WN,SEA,0.05578512396694215
WN,SFO,0.14165289256198346
WN,SJC,0.03363636363636364
WN,SLC,0.03140495867768595
WN,STL,0.07016528925619835
